Country,country_code,Region,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1
Cuba,CUB,Latin America & Caribbean,CO2 emissions (metric tons per capita),3361333119.0,2568971064.0,2027684176.0,1867588962.0,200397455.0,2128901202.0,2303624049.0,249778657.0,2455903799.0,2526010465.0,2547988693.0,2460438619.0,2358999348.0,2282445178.0,225414834.0,2337148577.0,237806834.0,2460200201.0,2380533907.0,240319712.0,2504045857.0,2455353561.0,2548611094.0,2558779773.0,23605037.0,2579300156.0,2396977609.0,2314084988.0,2355764257.0,2286146065.0,2286146065.0
Curacao,CUW,Latin America & Caribbean,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Latin America & Caribbean,CO2 emissions (metric tons per capita),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Europe & Central Asia,CO2 emissions (metric tons per capita),5987352208.0,6525172994.0,6844780855.0,7010687023.0,7143676294.0,6838977731.0,710993261.0,706919961.0,7274047826.0,7418613918.0,755866713.0,7279172403.0,7339032677.0,7880736103.0,7699844825.0,7687389951.0,7651782674.0,7812294746.0,7849714277.0,7540372167.0,7100376945.0,6783205135.0,6255253007.0,5621287658.0,5909934629.0,5900152116.0,6169943308.0,6238953732.0,6054174614.0,5998795283.0,5998795283.0
Czech Republic,CZE,Europe & Central Asia,CO2 emissions (metric tons per capita),1453545339.0,1328020218.0,1299916669.0,1267975204.0,1206841342.0,1212132597.0,1228667367.0,1211067678.0,1155194202.0,1088599028.0,1201065269.0,1201181802.0,116241027.0,1204336087.0,1210540157.0,11750804.0,1177860313.0,1200330783.0,1139282817.0,1064445418.0,1071659406.0,104010178.0,1009153928.0,9620257259.0,9264302843.0,9400668002.0,9627750042.0,9611647341.0,9492068199.0,9022786158.0,9022786158.0
Germany,DEU,Europe & Central Asia,CO2 emissions (metric tons per capita),1202660923.0,1165485055.0,1107379165.0,1093025817.0,1075537534.0,1070862967.0,1104000324.0,1063756246.0,1054575967.0,1015331952.0,1009931602.0,1029363415.0,1010298472.0,1013870882.0,9950402591.0,9729424378.0,9886441614.0,9527586652.0,9617453045.0,897178632.0,9453399722.0,9299036295.0,9451317705.0,962420735.0,9088506897.0,9087290909.0,9073006686.0,8858293847.0,8536196091.0,7911621016.0,7911621016.0
Djibouti,DJI,Middle East & North Africa,CO2 emissions (metric tons per capita),457322495.0,477883077.0,487765222.0,485041326.0,465965255.0,507626292.0,466092544.0,499350844.0,573137487.0,557164348.0,515624107.0,518404025.0,535513237.0,539730051.0,518403997.0,548995985.0,54118412.0,583520389.0,575725689.0,567756274.0,618904659.0,562277492.0,575946626.0,633989062.0,445083888.0,503283386.0,452042086.0,444868114.0,417134646.0,431407701.0,431407701.0
Dominica,DMA,Latin America & Caribbean,CO2 emissions (metric tons per capita),852006475.0,85255126.0,113401185.0,1129656302.0,1126062722.0,140637086.0,1127824849.0,1416591115.0,156733112.0,1575299307.0,1866475233.0,2152976131.0,171821302.0,1997089963.0,2273146979.0,2266931091.0,2403914163.0,2542480715.0,2541332041.0,705736224.0,2539610976.0,2538357502.0,3523409533.0,2393725648.0,2531966172.0,2528977972.0,2524296453.0,2378953286.0,2373439837.0,2367424267.0,2367424267.0
Denmark,DNK,Europe & Central Asia,CO2 emissions (metric tons per capita),1013239021.0,1218400644.0,1102802546.0,114404039.0,1213941892.0,1146488125.0,1393482212.0,120435399.0,1125707668.0,106599291.0,9850895645.0,1012356724.0,1001500952.0,1098769807.0,9941672844.0,9262963492.0,1069102319.0,9779475634.0,9125129139.0,8678105357.0,8673891232.0,773708669.0,6835287325.0,7116737849.0,6347153074.0,5929462754.0,6166190299.0,5746767737.0,5718343553.0,5107988509.0,5107988509.0
Dominican Republic,DOM,Latin America & Caribbean,CO2 emissions (metric tons per capita),1101844805.0,1131985212.0,129853669.0,1261517476.0,144982103.0,1514213851.0,1600700939.0,1793576202.0,2023269548.0,2132252896.0,220390761.0,2207336335.0,2393130244.0,2116308325.0,1925467548.0,2054464358.0,2209643748.0,2209049927.0,2175917533.0,2052891491.0,2133032567.0,2130799267.0,2183081632.0,2118782053.0,2110144291.0,2294373257.0,2364937465.0,2240059982.0,2381636338.0,2535627952.0,2535627952.0
